Order Date,Ship Date,Ship Mode,Customer Name,Segment,Country,City,State,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
08-11-2016,11-11-2016,Second Class,Claire Gute,Consumer,United States,Henderson,Kentucky,South,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0,41.9136
08-11-2016,11-11-2016,Second Class,Claire Gute,Consumer,United States,Henderson,Kentucky,South,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0,219.582
12-06-2016,16-06-2016,Second Class,Darrin Van Huff,Corporate,United States,Los Angeles,California,West,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0,6.8714
11-10-2015,18-10-2015,Standard Class,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,South,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031
11-10-2015,18-10-2015,Standard Class,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,South,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164
09-06-2014,14-06-2014,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0,14.1694
09-06-2014,14-06-2014,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Office Supplies,Art,Newell 322,7.28,4,0,1.9656
09-06-2014,14-06-2014,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152
09-06-2014,14-06-2014,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825
09-06-2014,14-06-2014,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0,34.47
09-06-2014,14-06-2014,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092
09-06-2014,14-06-2014,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568
15-04-2017,20-04-2017,Standard Class,Andrew Allen,Consumer,United States,Concord,North Carolina,South,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432
05-12-2016,10-12-2016,Standard Class,Irene Maddox,Consumer,United States,Seattle,Washington,West,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922
22-11-2015,26-11-2015,Standard Class,Harold Pawlan,Home Office,United States,Fort Worth,Texas,Central,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858
22-11-2015,26-11-2015,Standard Class,Harold Pawlan,Home Office,United States,Fort Worth,Texas,Central,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816
11-11-2014,18-11-2014,Standard Class,Pete Kriz,Consumer,United States,Madison,Wisconsin,Central,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0,13.3176
13-05-2014,15-05-2014,Second Class,Alejandro Grove,Consumer,United States,West Jordan,Utah,West,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0,9.99
27-08-2014,01-09-2014,Second Class,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,Office Supplies,Art,Newell 341,8.56,2,0,2.4824
27-08-2014,01-09-2014,Second Class,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011
27-08-2014,01-09-2014,Second Class,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384
09-12-2016,13-12-2016,Standard Class,Ken Black,Corporate,United States,Fremont,Nebraska,Central,Office Supplies,Art,Newell 318,19.46,7,0,5.0596
09-12-2016,13-12-2016,Standard Class,Ken Black,Corporate,United States,Fremont,Nebraska,Central,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0,15.6884
16-07-2017,18-07-2017,Second Class,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196
25-09-2015,30-09-2015,Standard Class,Emily Burns,Consumer,United States,Orem,Utah,West,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0,240.2649
16-01-2016,20-01-2016,Second Class,Eric Hoffmann,Consumer,United States,Los Angeles,California,West,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224
16-01-2016,20-01-2016,Second Class,Eric Hoffmann,Consumer,United States,Los Angeles,California,West,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0,11.7741
17-09-2015,21-09-2015,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522
17-09-2015,21-09-2015,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532
17-09-2015,21-09-2015,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525
17-09-2015,21-09-2015,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016
17-09-2015,21-09-2015,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092
17-09-2015,21-09-2015,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715
17-09-2015,21-09-2015,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.546
19-10-2017,23-10-2017,Second Class,Matt Abelman,Home Office,United States,Houston,Texas,Central,Office Supplies,Paper,Easy-staple paper,29.472,3,0.2,9.9468
08-12-2016,10-12-2016,First Class,Gene Hale,Corporate,United States,Richardson,Texas,Central,Technology,Phones,GE 30524EE4,1097.544,7,0.2,123.4737
08-12-2016,10-12-2016,First Class,Gene Hale,Corporate,United States,Richardson,Texas,Central,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963
27-12-2015,31-12-2015,Standard Class,Steve Nguyen,Home Office,United States,Houston,Texas,Central,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415
27-12-2015,31-12-2015,Standard Class,Steve Nguyen,Home Office,United States,Houston,Texas,Central,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764
27-12-2015,31-12-2015,Standard Class,Steve Nguyen,Home Office,United States,Houston,Texas,Central,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147
27-12-2015,31-12-2015,Standard Class,Steve Nguyen,Home Office,United States,Houston,Texas,Central,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564
10-09-2017,15-09-2017,Standard Class,Linda Cazamias,Corporate,United States,Naperville,Illinois,Central,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564
17-07-2016,22-07-2016,Standard Class,Ruben Ausman,Corporate,United States,Los Angeles,California,West,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0,3.894
19-09-2017,23-09-2017,Standard Class,Erin Smith,Corporate,United States,Melbourne,Florida,South,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616
11-03-2016,13-03-2016,First Class,Odella Nelson,Corporate,United States,Eagan,Minnesota,Central,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0,19.7714
11-03-2016,13-03-2016,First Class,Odella Nelson,Corporate,United States,Eagan,Minnesota,Central,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0,8.2062
